site_code,site_name,local_authority,site_type,lat,lon
A30,Kingston - Kingston Bypass A3,Kingston,Roadside,51.373553348648,-0.291969827871431
AZ99,Sk B Site,Enfield,Urban Background,50.9112219333093,0.0556574726512342
BG1,Barking and Dagenham - Rush Green,Barking and Dagenham,Suburban,51.563752,0.177891
BG2,Barking and Dagenham - Scrattons Farm,Barking and Dagenham,Suburban,51.529389,0.132857
BG3,Barking and Dagenham - North Street,Barking and Dagenham,Kerbside,51.540444,0.074418
BL0,Camden - Bloomsbury,Camden,Urban Background,51.522287,-0.125848
BN1,Barnet - Tally Ho Corner,Barnet,Kerbside,51.614675,-0.176607
BN2,Barnet - Finchley,Barnet,Urban Background,51.591901,-0.205992
BN3,Barnet - Strawberry Vale ,Barnet,Urban Background,51.6008848453589,-0.172297542087178
BP0,Westminster - Bridge Place,Westminster,Urban Background,51.4938505656999,-0.143808451030166
BQ1,Bexley 8 - Traffic(W slow - nearest BX8),Bexley,Kerbside,51.4568546603968,0.194546362638148
BQ2,Bexley 8 - Traffic(W fast),Bexley,Kerbside,51.4568546603968,0.194546362638148
BQ3,Bexley 8 - Traffic(E fast),Bexley,Kerbside,51.4568546603968,0.194546362638148
BQ4,Bexley 8 - Traffic(E slow - nearest BX7),Bexley,Kerbside,51.4568546603968,0.194546362638148
BQ5,Bexley - Manor Road West Gravimetric,Bexley,Industrial,51.4781935083933,0.187404883999095
BQ6,Bexley - Manor Road East Gravimetric,Bexley,Industrial,51.477670796298,0.190836225974902
BQ7,Bexley - Belvedere West,Bexley,Urban Background,51.4946486813055,0.137279111232178
BQ8,Bexley - Belvedere West FDMS,Bexley,Urban Background,51.4946486813055,0.137279111232178
BQ9,Bexley - Slade Green Fidas,Bexley,Suburban,51.4659832746662,0.184877126994369
BT1,Brent - Kingsbury,Brent,Suburban,51.589618,-0.275519
BT2,Brent - Ikea Car Park,Brent,Roadside,51.5524326273922,-0.260338843869077
BT3,Brent - Harlesden,Brent,Roadside,51.5370800298103,-0.249273425299457
BT4,Brent - Ikea,Brent,Roadside,51.552476,-0.258089
BT5,Brent - Neasden Lane,Brent,Industrial,51.552656,-0.248774
BT6,Brent - John Keble Primary School,Brent,Roadside,51.537799,-0.247793
BT7,Brent - St Marys Primary School,Brent,Urban Background,51.534718,-0.196664
BT8,Brent - ARK Franklin Primary Academy,Brent,Roadside,51.5324054617809,-0.217718908639377
BX0,Bexley - Belvedere FDMS,Bexley,Suburban,51.4906102082147,0.158914493927518
BX1,Bexley - Slade Green,Bexley,Suburban,51.4659832746662,0.184877126994369
BX2,Bexley - Belvedere,Bexley,Suburban,51.4906102082147,0.158914493927518
BX3,Bexley - Thamesmead,Bexley,Suburban,51.510808,0.121617
BX4,Bexley - Erith,Bexley,Industrial,51.477670796298,0.190836225974902
BX5,Bexley - Bedonwell ,Bexley,Suburban,51.4788023547334,0.133873839062683
BX6,Bexley - Thames Road North FDMS,Bexley,Roadside,51.457159,0.195294
BX7,Bexley - Thames Road North,Bexley,Roadside,51.457159,0.195294
BX8,Bexley - Thames Road South,Bexley,Roadside,51.456887,0.194582
BX9,Bexley - Slade Green FDMS,Bexley,Suburban,51.4659832746662,0.184877126994369
BY1,Bromley - Rent Office,Bromley,Urban Background,51.4132338948359,0.00721471618770671
BY4,Bromley - Tweedy Rd,Bromley,Roadside,51.403834810795,0.020390228913718
BY5,Bromley - Biggin Hill,Bromley,Suburban,51.314562,0.042019
BY7,Bromley - Harwood Avenue,Bromley,Roadside,51.405546,0.018882
CD1,Camden - Swiss Cottage,Camden,Kerbside,51.544219,-0.175284
CD3,Camden - Shaftesbury Avenue,Camden,Roadside,51.515532,-0.127027
CD4,Camden - St Martins College (NOX 1),Camden,Urban Background,51.518846,-0.12034
CD5,Camden - St Martins College (NOX 2),Camden,Urban Background,51.518846,-0.12034
CD9,Camden - Euston Road,Camden,Roadside,51.527975,-0.1287742
CE1,Regent Street facade (The Crown Estate),Westminster,Roadside,51.5111824979787,-0.139114122784456
CE2,Waterloo Place (The Crown Estate),Westminster,Roadside,51.5075819137762,-0.133068372704093
CE3,Regent Street (The Crown Estate),Westminster,Roadside,51.5113771448991,-0.139249367757023
CR2,Croydon - Purley Way,Croydon,Roadside,51.362638,-0.117952
CR3,Croydon - Thornton Heath,Croydon,Suburban,51.40401,-0.098814
CR4,Croydon - George Street,Croydon,Roadside,51.374312,-0.096503
CR5,Croydon - Norbury,Croydon,Kerbside,51.411349,-0.12311
CR6,Croydon - Euston Road,Croydon,Suburban,51.3786978969719,-0.113796403332539
CR7,Croydon - Purley Way A23,Croydon,Roadside,51.3622305655403,-0.117604507351392
CR8,Croydon - Norbury Manor,Croydon,Urban Background,51.4100146321438,-0.127520139142022
CR9,Croydon - Park Lane,Croydon,Roadside,51.3739530635378,-0.0967638468323854
CT1,City of London - Senator House,City of London,Urban Background,51.511491,-0.095807
CT2,City of London - Farringdon Street,City of London,Kerbside,51.5145253362314,-0.104515626337876
CT3,City of London - The Aldgate School,City of London,Urban Background,51.513847178423,-0.077765681752
CT4,City of London - Beech Street,City of London,Roadside,51.520225273171,-0.0961060474176381
CT6,City of London - Walbrook Wharf,City of London,Roadside,51.510499,-0.091634
CT8,City of London - Upper Thames Street,City of London,Roadside,51.5095436853913,-0.0873571979556188
CT9,City of London - Guildhall,City of London,Urban Background,51.515907,-0.092023986
CTA,City of London - Bell Wharf Lane,City of London,Roadside,51.5105969158391,-0.0921029031922594
CW3,Tower Hamlets - Jubilee Park,Hackney,Urban Background,51.5029878731458,-0.0180219908165375
CY1,Crystal Palace - Crystal Palace Parade,Croydon,Roadside,51.424812,-0.075449
EA0,Ealing - Acton Town Hall FDMS,Ealing,Roadside,51.506628,-0.267934
EA1,Ealing - Ealing Town Hall,Ealing,Urban Background,51.5133230466548,-0.307529015473585
EA2,Ealing - Acton Town Hall,Ealing,Roadside,51.506628,-0.267934
EA6,Ealing - Hanger Lane Gyratory,Ealing,Roadside,51.53085,-0.292488
EA7,Ealing - Southall,Ealing,Urban Background,51.508549,-0.392179
EA8,Ealing - Horn Lane,Ealing,Industrial,51.518948,-0.265617
EA9,Ealing - Court Way,Ealing,Roadside,51.5225651213491,-0.264922414775277
EG1,Ealing - Acton Town Hall (Partisol),Ealing,Roadside,51.5065947337762,-0.267964378025953
EI0,Ealing - Greenford,Ealing,Urban Background,51.5439296252862,-0.352801776049933
EI1,Ealing - Western Avenue,Ealing,Roadside,51.5236078191481,-0.265502631799754
EI2,Ealing - Southall Railway,Ealing,Roadside,51.5058699783726,-0.380241031512669
